,날짜,기사제목,기사내용
0,2018.08.30. 오후 11:53,9월9일 ‘닭고기 먹는 날'…농협 제주본부 소비촉진 행사,"구구데이 '닭 먹는 날'…“치킨 드시러 오세요”        농협 제주지역본부의 국내산 닭고기·계란 소비촉진 홍보 및 시식 행사. /fnDB     ■ “9월은 닭고기와 계란이 9味 당기는 날”  [제주=좌승훈기자] 농협 제주지역본부(본부장 고병기)는 '구구데이(9월9일)'을 앞두고 내달 6일 제주시청 어울림마당에서 제주농협.닭고기자조금과 제주도민과 함께하는 치킨파티행사를 개최한다.  닭을 불러 모으는 소리에 착안해 2003년 9월 9일 지정된 '구구데이'는 '모두 불러 모아 닭고기와 계란을 먹는 날'로 올해로 16회째를 맞고 있다.  이날 행사에는 농협 목우촌 ‘또래오래’ 치킨 시식행사와 닭고기의 효능과 요리 레시피를 담은 펨플릿을 나눠주는 행사로 도민이면 누구나 참여할 수 있다.  농협 제주징겨본부와 닭고기 자조금관리위원회는 치킨파티 외에도 소외계층과 함께하는 닭고기 나눔 행사 등을 펼치기로 했다.  고병기 본부장은 “'닭고기와 계란은 고단백질, 저지방, 저칼로리, 저콜레스테롤이면서도 가격이 저렴한 완전식품”이라며 “이번 행사를 통해 도민 여러분이 구구데이의 의미를 알고 닭고기와 계란을 일상적으로 애용해 주시기를 희망한다.'고 말했다.   jpen21@fnnews.com 좌승훈 기자   ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지		"
1,2018.08.27. 오전 8:34,"동우팜투테이블, 육계가격 상승에 주목-리서치알음","			[머니투데이 반준환 기자] 리서치알음은 27일 육계가격 상승에 주목해야 한다며 동우팜투테이블의 주가전망이 긍정적이라고 밝혔다. 적정주가는 5400원을 제시했다. 리서치알음은 유례없는 폭염으로 닭 폐사가 급증하고 있다며 지난 16일까지 전국적으로 닭 532만수가 폐사했다고 설명했다. 이는 역대 최대치로 2015년(243만수 폐사) 폭염 당시 기록의 두 배를 넘어선 것이다. 닭고기 가격이 말복을 지난 현재까지도 계속 오르고 있다. 6월말 1690원이었던 중닭 기준 산지 육계시세는 현재 2390원으로 41.4% 상승했다. 폭염으로 인한 육계가격 상승으로 3분기 영업실적 개선이 확실시된다는 평가다. 리서치알음은 우리나라 1인당 닭고기 소비량 13.6kg으로 미국 46.2kg, 홍콩 45.1kg, 싱가폴 44.1kg등에 비해 30% 수준에 불과해 안정적 성장이 예상된다며 국제 곡물가격 하락으로 원가도 감소했다고 설명했다.  현재 국제 대두박 가격 1숏톤(short ton)당 313.7달러로 6월말 332.8달러 대비 5.7% 하락했다. ▶더 많은 머니투데이 기사보기▶실시간 급상승 기사 ▶'MT리포트'가 새로 발행되었습니다 반준환 기자 abcd@<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지> "
2,2018.08.21. 오전 6:03,기록적인 폭염에 농산물 가격 급등…생산자물가 상승률 5개월 '최고',"시금치 가격 130.4%, 배추 가격 90.2% 상승이례적인 폭염으로 농산물 가격이 급등하면서 지난달 생산자물가가 5개월 만에 최대폭 상승한 것으로 나타났다. 여름 휴가철을 맞아 숙박, 운수 등 서비스물가도 비교적 큰 폭 올랐다.한국은행이 21일 발표한 ‘7월 생산자물가지수’에 따르면 지난달 생산자물가지수는 전월대비 0.4% 상승했다. 상승폭은 지난 2월(0.4%) 이후 가장 컸다. 전년동월대비로는 2.9% 상승해, 2016년 11월 이후 21개월 연속 오름세가 이어졌다.국제 유가 상승세가 주춤했지만, 기록적인 폭염이 이어지면서 농림수산품 가격이 4.3% 올랐다. 지난해 2월(5.7%) 이후 가격 상승폭이 가장 컸다. 특히 농산물 가격 상승폭은 7.9%를 기록했다. 폭염에 작황이 악화되면서 시금치(130.4%)를 비롯해, 배추(90.2%), 무(60.6%), 풋고추(37.3%) 등 농산물 가격이 급등했다. 여름철 수요가 많은 닭고기 가격이 14.3% 오르면서 축산물 가격도 3.5% 상승했다.국제 유가 상승세가 주춤했지만 석탄·석유제품 가격이 2.9% 오르면서 공산품 생산자물가도 0.3% 상승했다. 지난달 한시적으로 누진세가 완화되면서 산업용 전력 요금이 하락했지만, 가스 가격이 오르면서 전력·가스·수도 물가는 보합세였다.여름 휴가철 서비스 물가(0.1%)도 상승했다. 특히 음식점·숙박(0.4%), 운수(0.4%) 물가가 비교적 큰 폭 올랐다. 휴양콘도 가격이 15.6% 상승했고 호텔 가격도 8.8% 올랐다. 국제항공여객(8.0%), 국내항공여객(6.8%) 물가도 골고루 상승했다. 렌터카 수요가 늘어나면서 자동차임대 물가도 10.0% 올랐다.국내에 공급되는 상품과 서비스 가격을 나타내는 국내공급물가지수는 전월대비 0.9% 상승했다. 국내 출하 가격과 수입 가격이 모두 올라 원재료 가격이 3.1% 껑충 뛰었다. 중간재는 0.7%, 최종재는 0.5% 각각 상승했다.[연선옥 기자 actor@chosunbiz.com]chosunbiz.com"
3,2018.08.28. 오전 11:41,"올 추석, 쇠고기·닭고기·계란 가격은 오르고 돼지고기는 내리고","			올 추석 성수기에는 쇠고기·닭고기·계란 가격은 오르고, 돼지고기 가격은 내릴 것으로 전망된다. 한국농촌경제연구원은 28일 발표한 9월 축산물 관측 자료를 통해 한우·육계·계란 등의 추석 성수기 가격이 전년에 비해 상승할 것으로 전망했다. 쇠고기. 농촌진흥청 제공한우 1등급의 9월 평균 도매가격은 도축 마릿수 감소로 전년보다 상승한 ㎏당 1만8200∼1만9200원 대를 유지할 것으로 농경연은 내다봤다. 추석 성수기(추석 2주전) 가격 역시 전년보다 상승한 ㎏당 1만8500∼1만9500원대가 될 것으로 농경연은 예측했다. 한우 가격은 추석 이후인 10∼11월에도 강세가 이어질 것으로 전망된다. 농경연은 10~11월 한우 도매가격 역시 도축 마릿수 감소로 전년보다 상승한 ㎏당 1만700∼1만8700원대가 될 것으로 내다봤다. 농경연은 “추석 성수기의 한우 도축 마릿수가 4.4% 정도 줄어들 것으로 예상되며, 이런 현상은 추석 이후에도 계속될 것으로 보인다”고 밝혔다.닭고기와 계란 역시 추석을 앞두고 가격이 상승할 것으로 전망됐다.육계의 경우 폭염으로 인해 닭고기 생산이 감소한 일부 계열화 업체의 구매수요가 늘어나면서 9월 육계 산지 가격이 3.7~19.6% 상승할 것으로 농경연은 내다봤다. 농경연 관계자는 “육계의 9월 산지가격은 ㎏당 1300~1500원 수준을 유지할 것으로 보인다”고 밝혔다. 10~11월 육계 가격은 도계 마릿수의 증가로 지난해에 비해 낮아질 것이라고 농경연은 대다봤다.계란은 폭염의 영향으로 특란·대란의 비중이 감소하면서 추석 성수기 가격이 오를 것으로 예상됐다. 농경연 관계자는 “폭염으로 인해 전체 계란 중 특란과 대란의 비중이 16%나 감소할 것으로 보인다”면서 “추석 성수기 계란(10개) 산지가격은 지난해보다 상승한 1350~1450원선을 유지할 것으로 보인다”고 설명했다.그러나 돼지는 사육 마릿수가 늘어나면서 추석 성수기 도매가격(㎏당)이 지난해(4503원)에 비해 낮은 4100~4400원 선을 유지할 것으로 농경연은 전망했다.윤희일 선임기자  yhi@kyunghyang.com▶ [경향비즈 바로가기], 경향비즈 SNS [페이스북]  ▶ [인기 무료만화 보기][©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지]"
4,2018.08.30. 오전 10:00,[주간 밥상물가]태풍·폭우 피해로 무·배추·오이 가격↑…배 1개 3970원,"삼겹살도 수요증가로 가격 상승세【서울=뉴시스】최현호 기자 = 8월 마지막주 생활물가 동향을 살펴보면 폭염 뒤 바로 이어진 태풍, 폭우 등의 여파로 생육이 악화된 채소류가 대부분 상승세를 보였다. 육류도 수요 증가로 오름세를 나타냈다. 채소류 중 무·배추·오이 등 대부분의 품목이 상승세를 보였고, 양파 등 일부 품목만이 하락세에 판매됐다. 축산물 중 돼지고기는 공급이 원활한 가운데 급식용 등의 수요증가로 지난주보다 가격이 상승했다. 과일류 중 배는 산지 출하물량 조절과 우천으로 인한 반입물량 감소로 상승세를 보였다. 수산물 중 오징어는 매기가 한산한 가운데 반입량에 따라 지역별로 엇갈린 시세를 나타냈다. 전체 조사대상 73품목 중 서울 지역 기준, 닭고기·배추·시금치·포도 등 13품목이 상승했고, 양파·오징어 등 6품목은 하락세다.◇축산물 돼지고기는 공급이 원활했지만 시중 수요증가로 지난주보다 가격이 상승했다. 삼겹살 500g당 서울·대구·광주·대전에서 1.1%·4.8%·4.8%·5.5% 오른 1만4090원·9900원·9900원·1만1600원에 거래됐다. 부산은 1만2400원으로 강보합세에 판매됐다.닭고기는 소비가 한산하나 지난 폭염으로 인한 폐사량 증가로 반입량이 감소하면서 서울·부산에서 생닭 한 마리(1㎏)에 1.3%·11.5% 오른 5490원·5800원에 거래됐다. 대구·광주·대전은 4750원·6000원·5300원으로 지난주와 같은 시세를 유지했다.◇채소류시금치는 생육기 폭염에 따른 생산량 감소로 공급 물량이 부족하면서 강세흐름을 이어갔다. 한 단에 서울·부산·대구·광주·대전에서 12.5%·10.1%·31.9%·25%·31.4% 오른 8990원·9990원·1만1400원·9990원·8280원에 판매됐다.무는 국지적 호우 등 산지 우천으로 인한 출하작업 지연으로 상승세를 보였다. 개당 서울·대구·광주·대전에서 5.3~10.1% 오른 3280~3990원 선에서 거래됐고, 부산은 2980원으로 강보합세에 판매됐다. 상추는 구매 분위기가 한산한 가운데 일조량 부족 등 생육부진으로 오름세를 나타냈다. 서울·부산·대구·광주·대전에서 한 단에 6.7%·6.7%·4.8%·17.1%·25.4% 오른 1590원·1590원·1520원·2910원·1480원에 거래됐다.◇과일류배는 산지 출하물량 조절과 우천으로 인한 반입량 감소로 상승세를 보였다. 개당 서울·대구·광주에서 9.1%·8.8%·10.2% 오른 3970원·3960원·4000원에 판매됐고, 부산·대전은 1580원·3600원으로 강보합세에 거래됐다. 포도(캠벨)도 전국적인 국지적 호우로 인한 산지 출하작업 지연으로 상승세를 나타냈다. 서울·부산·대구에서 100g기준 16.7%·6.9%·16.7% 오른 700원·727원·700원에 거래됐고, 대전은 1.5% 내린 640원, 광주는 지난주와 같은 696원에 판매됐다. ◇수산물 오징어는 구매 분위기가 한산한 가운데 반입량에 따라 지역별로 엇갈린 시세를 나타냈다. 서울·부산·대구는 한 마리에 2.3%·15%·5.7% 내린 3900원ㆍ3390원·3290원에 판매됐고, 대전은 8.3% 오른 3900원에 거래됐다. 광주는 3990원으로 지난주와 같았다.wrcmania@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
5,2018.08.08. 오전 6:02,폭염에 채소 가격 '고공행진'…1주일 만에 5% 이상 올라,"			소비자원 조사 결과…채소·생선류↑, 쇠고기·계란·빙과류↓배추 한 포기 7,000원…폭염에 채솟값 폭등[연합뉴스 CG](서울=연합뉴스) 박성진 기자 = 기록적인 폭염이 이어지면서 채소 가격이 1주일 새 5% 넘게 또 올랐다.    채소를 비롯해 수산가공품, 생선류는 가격이 상승했지만, 낙농·축산가공품, 과자·빙과류, 차·음료는 하락했다.    8일 한국소비자원 가격정보사이트 참가격에 따르면 이달 3일 기준으로 채소 가격은 1주 전보다 5.4% 뛰었으며 수산가공품은 7.0%, 생선류는 2.4% 각각 상승했다.    채소는 조사대상 21개 품목 가운데 13개가 올랐으며 8개가 내렸다.    양배추가 한 주 새 41.2% 올라 가격 인상률이 가장 높았으며 이어 시금치(33.4%), 깻잎(19.1%), 상추·배추(11.4%), 단무지(10.6%) 순으로 많이 올랐다.    쪽파(-27.4%)와 오이(-6.3%), 감자(-3.7%), 호박(-2.8%) 등은 가격이 내렸다.    생선류는 고등어가 17.7% 올랐으며 참조기(0.7%)와 오징어(0.5%), 삼치(0.2%)도 소폭 상승했다. 갈치는 8.6% 하락했다.    수산가공품도 김밥 김이 7.3%, 참치캔이 6.0% 오르는 등 전체적으로 7.0% 뛰었다.    반면 여름철에 즐겨 찾는 과자·빙과류가 3.6% 내린 것을 비롯해 정육·난류(-3.5%)와 차·음료·주류(-2.2%), 곡물 가공품(-1.3%), 조미료·장류·식용유(-1.8%), 낙농·축산가공품(-1.1%)은 가격이 내렸다.    고온에 가축 폐사가 속출하며 최근 가격 상승세를 보였던 쇠고기(-8.7%)와 계란(-5.1%), 돼지고기(-4.8%)가 하락했으며 닭고기는 2.0% 상승했다.    과자·빙과류에서는 아이스크림이 40.5% 하락했다.    소비자원에 따르면 지난달 외식 메뉴 가격도 서울 지역의 경우 1년 새 최대 10%가량 오른 것으로 나타났다.    서울 지역 냉면 가격이 한 그릇 평균 8천808원으로 지난해 같은 달(8천38원)보다 9.6%(770원) 뛰는 등 서민들이 주로 찾는 외식 메뉴 8개 가운데 7개 가격이 지난 1년간 올랐고 1개만 변동이 없었다. sungjinpark@yna.co.kr▶놓치면 아쉬운 '핫뉴스'  ▶퀴즈풀고 상품받고! 뉴스퀴즈쇼 '뉴나'▶네이버 홈에서 [연합뉴스] 채널 구독하기"
6,2018.08.01. 오전 10:32,"정부, 농산물 가격급등에 배추·무 1만톤 조기출하","""폭염에 수급불안 우려 확대…긴장의 끈 놓지 않겠다""농협 하나로마트서 무·복숭아·수박 할인판매도고형권 기획재정부 1차관이 1일 오전 서울 종로구 정부서울청사에서 열린 제8차 물가관계차관회의에서 모두발언하고 있다. 2018.8.1/뉴스1(세종=뉴스1) 김혜지 기자 = 정부가 연일 계속되는 폭염에 따라 농축산물 수급 안정을 위한 태스크포스(TF)를 확대 운영하기로 했다.또 농가에 냉방장비와 재해복구비 등을 지급하고 배추와 무 등 폭염에 취약한 품목을 중심으로 비축물량을 방출할 계획이다.정부는 1일 오전 9시 정부서울청사에서 고형권 기획재정부 제1차관 주재로 제8차 물가관계차관회의를 연 뒤 이 같은 수급안정 대책을 발표했다.회의는 폭염에 따른 농축수산물 수급·가격 동향과 그 대응방안에 대해 논의하기 위해 열린 것이다.고 차관은 모두발언에서 ""최근 폭염에 따른 농작물 성장 지연, 가축 폐사로 농축산물 수급불안 우려가 확대되고 있다""며 ""정부는 폭염으로 인한 농축산물 피해가 확대될 가능성에 대비해 긴장의 끈을 놓지 않겠다""고 강조했다.황수경 통계청장은 ""최근 물가 상승률은 1%대로 안정적이지만 국민 생활과 밀접한 농산물, 수산물 등이 상대적으로 많이 올랐다""며 ""특히 지난달 폭염으로 배추, 상추 등 일부 채소류 가격이 강세를 띠어 체감물가는 높게 인식되고 있다""고 말했다.정부는 이날 폭염에 취약한 작물들을 중심으로 수급대책을 점검했다.우선 배추는 당분간 비축물량을 하루 100~200톤을 집중 방출하고 계약재배물량 6700톤을 활용해 출하 조절을 할 예정이다.무는 계약재배물량 3500톤을 이용해 이달 중순 이후 조기 출하를 유도한다. 또 농협 매장인 하나로마트에서 시중가격 대비 40~50% 할인된 개당 1500원으로 무 할인판매를 실시할 계획이다.제철과일인 복숭아·수박의 경우 가격 안정을 위해 지난달 중순부터 전국 하나로마트에서 할인판매를 진행하고 있다.정부는 앞으로 과일 가격 오름세가 확대될 경우 자조금 단체와 협업해 출하를 조절하겠다고 밝혔다. 또 할인품목과 할인규모를 늘리고 생산이 원활한 과일로 소비대체를 유도해 나가겠다고 덧붙였다.축산물 가격은 비교적 안정세를 띠고 있다. 폭염으로 가축 폐사가 잇따르고 있지만 가축 사육마리수 증가로 인해 지난달 말까지 돼지고기·닭고기 가격은 평년 수준을 기록했다.고 차관은 ""앞으로도 축산물 가격 상승요인은 크지 않을 것으로 예상된다""고 말했다.정부는 이에 따라 비상체제로 가동 중인 농업재해대책상황실을 통해 급수, 축사 냉방장비, 약제, 인력 등을 농가에 지원하고 재해보험금·재해복구비를 신속 지급하겠다고 밝혔다.또 현장기술지원단을 통해 병충해 처방과 생육관리 등 기술지원도 강화하겠다고 설명했다.기존 고랭지배추 수급 TF는 '폭염 대응 농축산물 수급안정 비상 TF'로 확대 가동할 계획이다. 아울러 산지기동반을 통해 매일 50여개 밭의 생육 상황을 상시로 모니터링하고 필요하다면 추가 품목별 수급안정대책을 마련하겠다고 덧붙였다.icef08@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ [페이스북] 바로가기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
7,2018.08.15. 오후 8:18,연일 폭염에 닭 가격 ‘꿈틀’…치킨값 또 오르나 ," 내일은 삼계탕을 많이 먹는 말복입니다.   폭염의 영향으로 삼계탕 주재료인 생닭 1kg 가격이 올해 처음 5000원대를 넘어섰습니다.   치킨집 점주들도 가격 인상을 고민하고 있습니다.   홍유라 기자입니다.   [리포트] 말복 마케팅이 한창인 대형마트 닭고기 코너. 가격을 본 소비자들은 선뜻 장바구니에 담지 못합니다.   [이유정 / 서울 마포구]  ""물가가 많이 오른거 같아요. 닭고기 사려고 왔는데 사야 하는지 말아야 하는지 고민이 많이 되네요. 안 먹는 쪽으로… ""   닭 1㎏ 가격이 이달 초 5000원을 넘더니, 중순 들어 5200원 가까이로 올랐습니다. 한 달 전에 비해 8% 상승한 겁니다.-   올해 닭 가격이 5000원을 넘은 건 처음입니다.   폭염의 여파로 500만 마리가 넘는 닭이 무더기로 폐사한 게 원인으로 꼽힙니다.   당장 치킨집 점주들은 매출에 직격탄을 맞았습니다.   [박모 씨 / 치킨집 점주]  ""가맹점들은 생닭 (가격)이 오르다 보니까 이윤이 그만큼 떨어지잖아요.""   최저임금 부담까지 겹쳐 치킨값 인상이 불가피하다고 호소합니다.   [박모 씨 / 치킨집 점주]  ""한 2000~3000원 정도는 올려야 되지 않나 생각을 하고 있습니다. 만약 개인적으로 하면 가격을 올렸을 거예요.""   폭염에 치솟는 물가로 자영업자와 서민들의 시름이 깊어지고 있습니다.   채널 A 뉴스 홍유라입니다.   영상취재 : 김영수  영상편집 : 조성빈  그래픽 : 손윤곤꿈을 담는 캔버스 채널A  ⓒCHANNEL A(www.ichannela.com), 무단 전재 및 재배포 금지		"
8,2018.08.14. 오전 10:10,기록적인 폭염에 ‘채소가격’ 일주일새 또 15% 상승,"한국소비자원 조사결과 일주일 새 채소 가격이 15% 넘게 오른 것으로 나타났다.  출처 | 픽사베이[스포츠서울 김민규기자]기록적인 폭염 속에 채소가격이 일주일새 또 올랐다. 한국소비자원 조사결과 일주일 새 채소 가격이 15% 넘게 오른 것을 비롯해 생선류(3.3%)와 곡물 가공품(2.4%), 정육·난류(1.4%) 등의 가격도 일제히 상승한 것으로 나타났다.14일 한국소비자원 가격정보사이트 참가격에 따르면 이달 10일 기준으로 채소 가격은 일주일 전보다 15.1% 올랐다. 채소는 조사대상 21개 품목 가운데 15개가 올랐으며 6개만 내렸다.양배추가 한주 새 83.5% 뛰어 가격 상승 폭이 가장 컸다. 국내산 양배추 1포기는 7600원으로 한 달 전 2443원과 비교하면 3.1배 가격이 오른 셈이다.또 오이가 일주일새 48.9% 올랐으며, 쪽파(41.2%)와 풋고추(39.7%), 무(30.9%), 호박(21.9%), 깻잎(15.5%), 대파(12.1%), 감자(11.9%), 배추(11.4%) 등도 가격이 10% 넘게 올랐다. 배추 1포기(1950∼2000ｇ)는 5570원으로 1개월 전 3616원보다 54.0%, 무는 1개 3441원으로 1개월 전 2266원보다 51.9%로 각각 올랐다. 가격이 내린 채소품목은 양파(-4.9%)와 당근(-4.6%), 고구마(-4%) 등 6개다. 가격이 오른 품목은 최대 곱절로 뛰었지만 내린 품목은 하락 폭이 상대적으로 작았다. 지난달부터 한 달 넘게 지속된 폭염이 이어지면서 밭작물은 물이 부족해 생육이 지연되고 각종 병으로 피해가 속출하면서 가격이 오른 것으로 분석됐다.또한 폭염으로 수온이 오르면 생선류도 1주일 새 3.3% 올랐다. 품목별로는 갈치가 12.9% 올랐으며 삼치(3.3%)와 참조기(1.7%), 오징어(1.0%)도 상승했다. 조사대상 품목 가운데 고등어(-0.1%)만 소폭 하락했다. 정육·난류에서는 쇠고기가 9.5%, 닭고기 0.6% 각각 올랐으며 돼지고기는 16.1%, 계란은 0.1% 각각 내렸다.kmg@sportsseoul.com▶스포츠서울 공식 페이스북▶팟캐스트 '스포츠서울 야구 X파일'▶스포츠서울 공식 유튜브 채널[기사제보 news@sportsseoul.com]  Copyright ⓒ 스포츠서울&sportsseoul.com"
9,2018.08.07. 오후 2:11,서민외식메뉴 8개중 7개 가격 올랐다,"냉면 9.6% 상승 최대삼겹살 5.0% 올라 2위자장면만 작년 그대로냉면과 비빔밥, 삼겹살 등 서민들이 주로 찾는 외식 메뉴 가격이 서울 지역의 경우 지난 1년 새 최대 10%가량 오르는 등 서민들의 물가 부담이 커지고 있다. 7일 한국소비자원 가격정보 종합포털 ‘참가격’에 따르면 7월 기준으로 서울 지역 대표 외식 메뉴 8개 가운데 7개 가격이 지난 1년간 오른 것으로 나타났다. 지난달 서울 지역 냉면 가격은 한 그릇 평균 8808원으로 지난해 같은 달(8038원)보다 9.6%(770원) 뛰었다. 여름철 인기가 높은 메뉴 중 하나인 냉면은 조사 대상 8개 외식 메뉴 가운데 인상률이 가장 높았다. 삼겹살은 200ｇ당 1만6489원으로 지난해보다 5.0% 올라 상승 폭이 두 번째로 컸다. 그다음으로는 비빔밥(2.8%), 김치찌개 백반(2.6%), 칼국수·김밥(1.8%), 삼계탕(1.1%) 순으로 많이 올랐다. 자장면은 4923원으로 지난해와 가격이 같았다. 전달과 비교해서는 비빔밥(1.4%)과 삼계탕(0.5%)이 상승했다. 폭염으로 지난달 농축산물 물가도 전달보다 크게 뛰었다. 통계청이 지난 1일 공개한 소비자물가동향에 따르면 지난달 채소류 물가는 6월보다 3.7％ 상승했으며 축산물도 고온에 가축 폐사가 속출하며 3.3% 올랐다. 시금치 가격이 전월 대비 50.1％나 치솟았고 열무(42.1％), 배추(39.0％), 상추(24.5％) 등도 가격이 크게 뛰었다. 돼지고기는 7.8%, 닭고기는 2.7% 각각 가격이 올랐다. 폭염 속 냉면 가격이 상승하자 외식보다 저렴하게 냉면을 즐기려는 소비자들이 늘며 포장 냉면은 더 많이 팔렸다. CJ제일제당은 자사 간편식 냉면이 지난 7월 한 달간 100억 원어치 이상 팔리며 역대 최고 매출을 기록했다고 이날 밝혔다. 이는 전년 대비 22% 이상 상승한 것으로, 전달 역대 최고 매출이었던 80억 원을 경신한 것이다. 박세영 기자 go@munhwa.com[ 문화닷컴 바로가기 | 문화일보가 직접 편집한 뉴스 채널 | 모바일 웹 ][Copyrightⓒmunhwa.com '대한민국 오후를 여는 유일석간 문화일보' 무단 전재 및 재배포 금지(구독신청:02)3701-5555)]		"
