date,day,5-6scale,7-8scale,9-10scale,11scale,12scale,13-16scale
2021-01-02,Sat,4433 ,4244 ,3923 ,3768 ,3524 ,3479 
2021-01-04,Mon,4433 ,4244 ,3923 ,3768 ,3524 ,3479 
2021-01-05,Tue,4433 ,4244 ,3923 ,3768 ,3524 ,3479 
2021-01-06,Wed,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-07,Thr,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-08,Fri,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-09,Sat,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-11,Mon,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-12,Tue,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-13,Wed,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-14,Thr,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-15,Fri,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-16,Sat,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-18,Mon,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-19,Tue,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-20,Wed,4600 ,4402 ,4077 ,3915 ,3669 ,3621 
2021-01-21,Thr,4600 ,4402 ,4077 ,3915 ,3814 ,3764 
2021-01-22,Fri,4600 ,4402 ,4077 ,3915 ,3814 ,3764 
2021-01-23,Sat,4600 ,4402 ,4077 ,3915 ,3814 ,3764 
2021-01-25,Mon,4600 ,4402 ,4077 ,3915 ,3814 ,3764 
2021-01-26,Tue,4433 ,4244 ,3923 ,3768 ,3669 ,3621 
2021-01-27,Wed,4433 ,4244 ,3923 ,3768 ,3669 ,3621 
2021-01-28,Thr,4267 ,4085 ,3769 ,3621 ,3524 ,3479 
2021-01-29,Fri,4100 ,3926 ,3615 ,3474 ,3379 ,3336 
2021-01-30,Sat,4100 ,3926 ,3615 ,3474 ,3379 ,3336 
2021-02-01,Mon,3933 ,3767 ,3462 ,3326 ,3234 ,3193 
2021-02-02,Tue,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-03,Wed,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-04,Thr,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-05,Fri,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-06,Sat,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-08,Mon,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-09,Tue,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-10,Wed,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-15,Mon,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-16,Tue,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-17,Wed,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-18,Thr,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-19,Fri,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-20,Sat,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-22,Mon,3767 ,3609 ,3308 ,3179 ,3089 ,3050 
2021-02-23,Tue,3767 ,3609 ,3462 ,3326 ,3089 ,3050 
2021-02-24,Wed,3933 ,3767 ,3615 ,3474 ,3234 ,3193 
2021-02-25,Thr,3933 ,3767 ,3615 ,3474 ,3234 ,3193 
2021-02-26,Fri,3933 ,3767 ,3615 ,3474 ,3234 ,3193 
2021-02-27,Sat,3933 ,3767 ,3615 ,3474 ,3234 ,3193 
2021-03-02,Tue,3767 ,3609 ,3462 ,3326 ,3089 ,3050 
2021-03-03,Wed,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-04,Thr,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-05,Fri,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-06,Sat,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-08,Mon,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-09,Tue,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-10,Wed,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-11,Thr,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-12,Fri,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-13,Sat,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-15,Mon,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-16,Tue,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-17,Wed,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-18,Thr,3600 ,3450 ,3308 ,3179 ,2944 ,2907 
2021-03-19,Fri,3600 ,3450 ,3154 ,3032 ,2799 ,2764 
2021-03-20,Sat,3600 ,3450 ,3154 ,3032 ,2799 ,2764 
2021-03-22,Mon,3433 ,3291 ,3000 ,2885 ,2654 ,2621 
2021-03-23,Tue,3433 ,3291 ,3000 ,2885 ,2654 ,2621 
2021-03-24,Wed,3433 ,3291 ,3000 ,2885 ,2654 ,2621 
2021-03-25,Thr,3433 ,3291 ,3000 ,2885 ,2654 ,2621 
2021-03-26,Fri,3433 ,3291 ,3000 ,2885 ,2654 ,2621 
2021-03-27,Sat,3433 ,3291 ,3000 ,2885 ,2654 ,2621 
2021-03-29,Mon,3433 ,3291 ,3000 ,2885 ,2654 ,2621 
2021-03-30,Tue,3433 ,3291 ,3000 ,2885 ,2654 ,2621 
2021-03-31,Wed,3600 ,3450 ,3154 ,3032 ,2799 ,2764 
